function_name,duplication_count,files,modules,doc_comments,recommendation,priority
add_sheet,2,"/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/lda_export.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/pca/pca_export.R","app/logic/lda, app/logic/pca","[lda_export.R] (no docs)
[pca_export.R] (no docs)",Create shared utility in app/logic/shared/,MEDIUM
axis_label,2,"/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/ld_plot.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/pca/biplot3d.R","app/logic/lda, app/logic/pca","[ld_plot.R] (no docs)
[biplot3d.R] (no docs)",Create shared utility in app/logic/shared/,MEDIUM
build_posthoc_context,2,"/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/statistics/parametric_posthoc.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/statistics/robust_posthoc.R",app/logic/statistics,"[parametric_posthoc.R] (no docs)
[robust_posthoc.R] (no docs)",Create shared utility in app/logic/shared/,MEDIUM
compute_shapiro,2,"/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/plotting/assumption_checks.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/summary.R","app/logic/plotting, app/logic/summary.R","[assumption_checks.R] (no docs)
[summary.R] (no docs)",Create shared utility in app/logic/shared/,MEDIUM
filter_valid_comparisons,2,"/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/statistics/parametric_posthoc.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/statistics/robust_posthoc.R",app/logic/statistics,"[parametric_posthoc.R] (no docs)
[robust_posthoc.R] (no docs)",Create shared utility in app/logic/shared/,MEDIUM
format_p,2,"/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/dimension_eval.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/plotting/assumption_checks.R","app/logic/lda, app/logic/plotting","[dimension_eval.R] (no docs)
[assumption_checks.R] (no docs)",Create shared utility in app/logic/shared/,MEDIUM
normalize_interaction,2,"/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/statistics/parametric_posthoc.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/statistics/robust_posthoc.R",app/logic/statistics,"[parametric_posthoc.R] (no docs)
[robust_posthoc.R] (no docs)",Create shared utility in app/logic/shared/,MEDIUM
validate_inputs,6,"/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/cluster/cluster.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/lda/lda.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/pca/pca.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/plotting/validate.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/statistics/validate.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/summary.R","app/logic/cluster, app/logic/lda, app/logic/pca, app/logic/plotting, app/logic/statistics, app/logic/summary.R","[cluster.R] (no docs)
[lda.R] (no docs)
[pca.R] (no docs)
[validate.R] (no docs)
[validate.R] (no docs)
[summary.R] (no docs)",Create shared utility in app/logic/shared/,HIGH
validate_posthoc,2,"/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/statistics/parametric_posthoc.R
/Users/tmc/Documents/03_Arbeit/09_Software_Dev/TexAn2.0/app/logic/statistics/robust_posthoc.R",app/logic/statistics,"[parametric_posthoc.R] (no docs)
[robust_posthoc.R] (no docs)",Create shared utility in app/logic/shared/,MEDIUM
